cafe_id,kakao_name,feature,positive_count,negative_count,neutral_count,mention_count,feature_score
C001,커스텀커피 역북점,영업시간,2,0,0,2,100.0
C001,커스텀커피 역북점,조용함,1,0,0,1,100.0
C004,밀크팜747,체류 적합성,1,0,0,1,100.0
C006,달롱도르요거트아이스크림 역북점,가격대,1,0,0,1,100.0
C007,브라운리퀴드,조용함,3,0,0,3,100.0
C007,브라운리퀴드,체류 적합성,0,0,1,1,50.0
C008,달다미로,가격대,2,0,1,3,100.0
C011,더벤티 용인역북점,가격대,4,0,0,4,100.0
C011,더벤티 용인역북점,조용함,1,0,0,1,100.0
C011,더벤티 용인역북점,좌석,1,1,0,2,50.0
C013,요거트월드 역북점,가격대,1,0,0,1,100.0
C015,컴포즈커피 용인명지대점,체류 적합성,0,0,1,1,50.0
C017,공차 용인역북점,영업시간,2,0,0,2,100.0
C017,공차 용인역북점,조용함,0,1,0,1,0.0
C018,러블리파이마카롱,가격대,1,0,0,1,100.0
C018,러블리파이마카롱,체류 적합성,0,0,1,1,50.0
C021,딸기가좋아 용인점,가격대,1,0,1,2,100.0
C023,보드빌,가격대,4,0,0,4,100.0
C023,보드빌,좌석,2,0,0,2,100.0
C023,보드빌,체류 적합성,1,0,0,1,100.0
C026,클라드커피,가격대,0,0,1,1,50.0
C026,클라드커피,공부 적합성,0,0,1,1,50.0
C026,클라드커피,조용함,1,1,0,2,50.0
C027,드롭탑 용인역북점,좌석,1,0,0,1,100.0
C028,메가번 용인역북점,가격대,1,0,0,1,100.0
C029,커피인류 용인역북점,좌석,1,0,0,1,100.0
C030,지니어스,공부 적합성,2,0,3,5,100.0
C030,지니어스,좌석,1,0,0,1,100.0
C031,빽다방 용인역북남부점,가격대,1,0,0,1,100.0
C032,우지커피 용인역북점,가격대,1,0,0,1,100.0
C032,우지커피 용인역북점,영업시간,0,0,1,1,50.0
C035,하이오커피 용인역북점,가격대,1,0,0,1,100.0
C036,레드버튼 용인역북점,가격대,1,0,0,1,100.0
C036,레드버튼 용인역북점,좌석,1,0,0,1,100.0
C037,메가MGC커피 용인역북점,가격대,1,0,0,1,100.0
C039,투썸플레이스 용인역북점,가격대,1,0,0,1,100.0
C040,욤카페 역북점,가격대,1,0,0,1,100.0
C041,카페요시,가격대,2,0,1,3,100.0
C041,카페요시,좌석,0,1,1,2,0.0
C042,우노커피랩,가격대,1,1,1,3,50.0
C042,우노커피랩,조용함,2,0,0,2,100.0
C042,우노커피랩,체류 적합성,1,0,1,2,100.0
C044,그레이핍플 역북점,가격대,3,0,0,3,100.0
C044,그레이핍플 역북점,영업시간,1,0,0,1,100.0
C047,도노커피 용인시청점,가격대,1,0,0,1,100.0
C051,애플하우스,좌석,0,1,1,2,0.0
C054,폴바셋 용인시청DT점,조용함,2,0,0,2,100.0
C054,폴바셋 용인시청DT점,좌석,1,1,0,2,50.0
C054,폴바셋 용인시청DT점,혼잡도,0,1,0,1,0.0
C060,카페 오굿,가격대,1,0,0,1,100.0
C061,메가MGC커피 삼가역점,가격대,1,0,0,1,100.0
C061,메가MGC커피 삼가역점,좌석,1,0,0,1,100.0
C063,커피에반하다 용인삼가역점,가격대,3,0,0,3,100.0
C063,커피에반하다 용인삼가역점,공부 적합성,1,0,0,1,100.0
C063,커피에반하다 용인삼가역점,조용함,1,0,0,1,100.0
C065,처인재,영업시간,0,0,1,1,50.0
C065,처인재,조용함,1,0,0,1,100.0
C065,처인재,좌석,2,0,0,2,100.0
C065,처인재,체류 적합성,1,0,0,1,100.0
C069,트리아농,조용함,1,0,0,1,100.0
C071,메가MGC커피 명지대역점,가격대,2,0,0,2,100.0
C071,메가MGC커피 명지대역점,체류 적합성,1,0,1,2,100.0
C072,카페라딘,좌석,0,0,1,1,50.0
C074,카페명암,좌석,1,0,0,1,100.0
C074,카페명암,체류 적합성,0,1,0,1,0.0
C075,베이크카페,좌석,1,0,0,1,100.0
C075,베이크카페,체류 적합성,0,0,1,1,50.0
C078,카페다 용인시청점,가격대,2,0,0,2,100.0
C078,카페다 용인시청점,조용함,1,0,0,1,100.0
C079,안녕마루,가격대,2,0,0,2,100.0
C080,디어도터,가격대,0,0,1,1,50.0
C080,디어도터,조용함,2,0,0,2,100.0
C080,디어도터,좌석,1,0,0,1,100.0
C083,커스텀커피 중동직영점,조용함,0,1,0,1,0.0
C083,커스텀커피 중동직영점,좌석,1,0,0,1,100.0
C085,컴포즈커피 용인초당점,가격대,2,0,0,2,100.0
C087,메가 MGC커피 용인상하쌍용점,가격대,1,0,0,1,100.0
C087,메가 MGC커피 용인상하쌍용점,좌석,1,0,0,1,100.0
C087,메가 MGC커피 용인상하쌍용점,콘센트,1,0,0,1,100.0
C088,피크닉제이,가격대,0,1,0,1,0.0
C088,피크닉제이,공부 적합성,1,0,0,1,100.0
C088,피크닉제이,좌석,1,0,0,1,100.0
C088,피크닉제이,체류 적합성,0,0,1,1,50.0
C088,피크닉제이,콘센트,1,0,0,1,100.0
C089,달달하당,조용함,2,0,0,2,100.0
C089,달달하당,혼잡도,0,1,0,1,0.0
C095,레디쉬드롭,공부 적합성,1,0,0,1,100.0
C095,레디쉬드롭,조용함,1,0,0,1,100.0
C099,카페봄,가격대,1,0,0,1,100.0
C099,카페봄,조용함,3,0,0,3,100.0
C099,카페봄,좌석,3,0,0,3,100.0
