cafe_id,sentence
C030,"예쁜 공간에서 맛있는 디저트 먹으며 제대로 기분 전환하고 갑니다, 완전 추천해요"
C069,미르스타디움에서 접근성 좋은 카페 경기 중 목이 말라서 추가로 얼음물 좀 부탁했는데 서비스로 약과까지 주셔서 감동입니다
C005,그냥 믿고 드셔보세요 절대 후회 안하고 여기에 돈을 바치는 자신을 보게 되실거에요
C080,직원분들도 친절하세요~
C004,복분자 아이스크림도 새로 출시되었습니다
C077,다음에 또 갈께요
C044,아이들은 초코 쿠키슈랑 바닐라 쿠기슈 잘먹네요
C021,음식은 돈까스랑 우동 추천이요 ^^
C026,역북에 볼 일 있으면 꼭 들러야 하는 카페
C069,빨리빨리 만들어서 많이 파세요 ㅎㅎ
C018,몇 번 왔는지 기억도 안나는 역북 최고 디저트집👏
C066,저번에 가서 10개 산 걸 후회해서 오늘은 20개
C084,4살아이와 방문해서 너무 재미있게 놀다가요💕
C051,사진을 잘 챙기지 못해 아쉽다
C084,다음에 또 방문해 주세요
C097,마음이 따뜻해지는 곳이에요
C024,엄마들도 아이들도 너무너무 즐거웠어요~ 다음에 또 놀러갈께요😘
C074,라떼 정말 맛있어요
C060,감사합니다
C093,🅿️ 매장 앞 주차장 / 자리많아요
C089,우리동네 최고의 카페
C019,식혜와 아로니아에이드도 맛있게 드셔주셔서 감사드려요
C098,역시 야외에서 먹는 한강라면은 항상 맛있네요
C060,개업 이후 최고 호평 리뷰에  감사드립니다
C039,"아이스초콜릿라떼:5,600원"
C009,애들 따라다니느라 땀 범벅이었는데 부모도 잘 쉬어가요
C009,아이와 따뜻하게 잘 놀다갑니다❣️
C039,<주문>
C009,이번에는 새학기 친구들과 놀러왔는데 더 즐거워하네요~
C077,이전에 다른 곳에선 적응 좀 못했나 싶었는데 와그와그컴퍼니에선 딱히 그런 생각 안들어서 안심하고 앞으로 맡길 수 있을때 찾으려 합니당 👍💖💖
C066,요🫶다른 곳 가서 사 먹긴 아까워져요
C018,"기본에 충실한 디저트 맛집입니다,,,신선하고 친절하시고"
C075,"안녕하세요, 고객님"
C084,특히 진짜 해변에 온 것처럼 소품들도 많고 잘 꾸며져 있어서 예쁜 사진들도 많이 담을 수 있었어요 👍
C009,이제 꿀잼 건물만 지나가도 바로 알아채는 찐단골이에요ㅋㅋ
C009,"안녕하세요, 고객님"
C028,지나가다 냄새 맡으니 안 살수가 없네요
C084,ㅋㅋ
C091,더워지는 요즘 들어가서 한잔하기 딱 좋아요
C084,처음에 스위밍풀로 착각하고 예약했다가 뒤늦게 모래놀이룸인거 알고 취소할까말까 고민하다 그냥 왔는데 너무 좋아요
C052,우연히 방문하게 된 아이갓에브리씽
C018,두바이타르트에 이어 두쫀쿠도 역시나 쫀득하니 맛있었습니다~조만간 또 방문할 예정
C021,"여기는 한달에 2,3번은 오는것같아요"
C052,잘 쉬었다 갈게요~
C017,"네이버에 영업시간은 10시반이라고 적혀있는데,"
C095,분위기 넘 좋아요^^
C099,오랜만에 온 카페봄 ~~
C042,인테리어가 고급지고 조명도 세련되었네요
C021,직원분들도 친절하시고 좋아요
C041,올해 왕복 두시간 거리인데도 직접 사러 갔습니다
C013,양이 많아요
C054,폴바셋 아이스크림 먹으러 왔어요~~~~^^
C051,식재료가 신선하고 알차며 맛은 최고다
C052,교육지원청 별관1층 커피숍
C008,"손으로 잡았을 때 묵직하고, 바삭하면서도 쫀득한 식감이 정말 맛있습니다 ㅎㅎ"
C046,"따뜻한 핸드드립에 현미가래떡 구이도 별미죠~ 특히, 에티오피아 커피가 진짜 향이 좋더라구요👍 오랜만에 따뜻하게 시간 잘 보내다 갑니다~ 다음에 또 올게요"
C095,아아만 마셨었는데 딸램좋아하는 바닐라라떼를 먹어봤어요
C077,감사합니다 자주 이용할게요
C071,크기도 큼직해서 은근 든든하더라구여~^^ 아메리카노도 맛있어요
C098,아이들과 행복한시간이 될 수 있도록 언제나 깨끗하게 관리에 신경쓰겠습니다🥰
C074,지인 소개로 갔다가 분위기 너무 좋아서 오늘
C042,(버전이 두가지라더라구요 전 기본으로 먹었는데 요거트맛 나는 더 부드러운것도 있대요 사장님이 알려주심)
C009,리뷰 남겨주셔서 정말 감사합니다
C051,남김없이 그릇을 비웠다
C016,감사감사감사합니다~
C046,현미가래떡구이 너무 맛있어요
C080,인테리어가 아늑하고 감각적이라서 커피 마시면서 여유롭게 시간 보내기 딱 좋았어요
C060,너무 잘먹었습니다
C035,"가격대비 커피를 고소한 맛, 산미있는 맛 중 고를 수도 있고"
C019,깔끔한 공간에서 기분 좋게 쉬다 가셨다니 너무 뿌듯해요 :)
C009,"안녕하세요, 고객님"
C021,테마도 다양하고 애들이 놀 공간도 괜찮습니다
C052,직원들이 친절하고 음료도 맛있어요
C009,길을 좀 헤메느라 연락드렸는데 사장님 너무 친절하세요😍
C077,지금까지 보낸 호텔링 중 가장 베스트임니당 ~~~
C065,커피가 진하고 맛있어요~
C032,키와마루아지 영업 종료후 카페맛집 탄생
C084,취소했으면 후회할 뻔 했어요
C095,ㅎㅎ
C001,커스텀커피 넘 맛있어요
C005,너무 맛있어요
C039,맛있게 잘 먹고 갑니다
C035,녹차 빙수 사진을 보니 안들어갈 수 었어서 ㅎㅎ 맛있게 잘 먹었으나 녹차맛이 좀 연해서 아쉬웠어요 팥은 탱글하니 맛있어서 전체적으로 시원하게 잘 먹고 나왔습니다
C063,스프레드양이 너무 적은건지
C084,👍🏻
C074,데이트하기도 좋네요
C088,인생 첫 디저트를 이걸로 시작하면
C045,역북동에서 착한가격에 가성비 있는 보드게임장인거 같아요
C072,오전에 라떼 먹었지만 맛있는 라떼 먹고싶어서 집에 가기전에 들렀어요
C064,정말 오랜만에 방문한 궁촌
C036,레드버튼 다녀왔는데 기대 이상으로 만족스러웠어요
C045,음료랑 음식이 맛잇어여
C008,"스콘은 원래 딸기잼을 꼭 찍어 먹는 편인데, 이미 크림이 들어가 있어서 따로 곁들이지 않아도 충분히 맛있었고요"
C028,존맛탱구리구리
C016,디저트가 맛있어요♡
C030,피스타치오크림라떼랑 쑥라떼 주문했는데 넘 예쁘고 맛있었어요🥹 사장님도 친절하시고 대화 나누면서 쉬기 좋은 곳 같습니당
C041,테이크아웃해갔는데
C088,궁금해서 한 번 먹어봤는데요
C024,매년 아이 생파는 여기에서
C087,매번 자주먹던 왕할메가 한잔과 복숭아아이스티사서
